Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Barra D'Alcântara (PI);...;-;-;-;-;-;-;-;-;-;-;...;10;-;115;14;-;-;-;-;-;55;-;108;-;508;-;-;-;-;-;-;-;-;-;-
Barras (PI);...;-;-;-;513;-;-;-;-;-;-;...;492;-;45;1031;-;-;-;-;-;1400;648;5670;-;1885;-;-;-;-;-;-;-;-;-;-
Barreiras do Piauí (PI);...;-;4906;-;-;-;-;-;-;-;-;...;5;-;69;404;-;-;-;-;-;88;-;-;-;10228;-;-;94299;87;-;-;-;-;-;-
Barro Duro (PI);...;-;-;-;3017;-;-;-;-;-;-;...;277;-;95;457;-;-;-;-;-;291;-;2000;-;687;-;-;-;-;-;-;-;-;-;-
Batalha (PI);...;-;-;-;383;-;-;-;-;-;-;...;846;-;-;1565;-;-;-;-;-;634;216;196;-;1038;-;-;-;-;-;-;-;-;-;-
Bela Vista do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;343;-;-;-;-;-;18;-;-;-;914;-;-;-;-;-;-;-;-;-;-
Belém do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;181;-;-;342;-;-;-;-;-;80;-;-;-;111;-;-;-;-;-;-;-;-;-;-
Beneditinos (PI);...;-;-;-;-;-;-;-;-;-;-;...;159;-;-;555;-;-;-;-;-;332;-;2125;-;483;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;24;624;-;-;-;-;-;126;-;-;-;948;-;-;-;-;-;-;-;-;-;-
Betânia do Piauí (PI);...;-;12;-;-;-;-;-;-;-;-;...;-;-;-;105;-;-;-;-;-;680;-;-;-;581;-;-;-;-;-;-;-;-;-;-
Boa Hora (PI);...;-;-;-;-;-;-;-;-;-;-;...;102;-;-;146;-;-;-;-;-;306;-;-;-;78;-;-;10455;-;-;-;-;-;-;-
Bocaina (PI);...;-;-;-;564;27;-;-;-;-;-;...;46;-;-;2393;-;-;-;-;-;123;52;-;-;155;-;-;-;-;63;-;-;-;-;-
Bom Jesus (PI);...;-;-;-;300;-;-;-;-;-;-;...;35;-;86;20768;-;-;-;-;-;405;55;504;-;350716;-;-;822333;82;-;-;-;-;-;-
Bom Princípio do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;2013;-;-;2342;-;-;-;-;-;9360;175;-;-;1652;-;-;-;-;-;-;-;-;-;-
Bonfim do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;636;-;-;-;-;-;96;-;-;-;323;-;-;-;-;-;-;-;-;-;-
Boqueirão do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;147;-;-;175;-;-;-;-;-;300;-;-;-;112;-;-;-;-;-;-;-;-;-;-
Brasileira (PI);...;-;-;-;-;-;-;-;-;-;-;...;102;-;-;435;-;-;-;-;-;150;-;600;-;394;-;-;-;-;-;-;-;-;-;-
Brejo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;7;-;-;252;-;-;-;-;-;34;-;158;-;437;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);...;-;-;-;-;-;-;-;-;-;-;...;116;-;-;1321;-;-;-;-;-;4186;-;-;-;858;-;-;-;-;-;-;-;-;-;-
Buriti dos Montes (PI);...;-;-;-;-;-;-;-;-;-;-;...;7;-;-;1150;-;-;-;-;-;175;-;-;-;1160;-;-;-;-;-;-;-;-;-;-
Cabeceiras do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;210;-;-;226;-;-;-;-;-;576;-;400;-;444;-;-;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;122;-;-;-;-;-;46;-;-;-;441;-;-;-;-;-;-;-;-;-;-
Caldeirão Grande do Piauí (PI);...;-;18;-;-;-;-;-;-;-;-;...;-;-;510;9542;-;-;-;-;-;13739;-;-;-;11435;-;-;-;-;-;-;-;-;-;-
Campinas do Piauí (PI);...;-;-;-;422;-;-;-;-;-;-;...;-;-;-;420;-;-;-;-;-;84;288;-;-;2025;-;-;-;-;-;-;-;-;-;-
Campo Alegre do Fidalgo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;116;-;-;-;-;-;32;-;-;-;50;-;-;-;-;-;-;-;-;-;-
Campo Grande do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;1395;-;-;793;-;-;-;-;-;1200;-;-;-;522;-;-;-;-;-;-;-;-;-;-
Campo Largo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;14;-;36;178;-;-;-;-;-;259;-;-;-;498;-;-;-;-;-;-;-;-;-;-
Campo Maior (PI);...;-;-;-;-;-;-;-;-;-;-;...;141;-;-;1183;-;-;-;-;-;789;-;2250;-;1017;-;-;-;-;-;-;-;-;-;-
Canavieira (PI);...;-;-;-;-;-;-;-;-;-;-;...;151;-;17;636;-;-;-;-;-;239;-;-;-;1656;-;-;-;-;-;-;-;-;-;-
Canto do Buriti (PI);...;-;-;-;2505;-;-;-;-;-;-;...;176;-;-;2081;-;-;-;-;-;698;-;2576;30096;2902;-;-;-;-;-;-;-;-;-;-
Capitão de Campos (PI);...;-;-;-;-;-;-;-;-;-;-;...;327;-;-;450;-;-;-;-;-;417;-;170;-;856;-;-;-;-;-;-;-;-;-;-
Capitão Gervásio Oliveira (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;119;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;-;-
Caracol (PI);...;-;-;-;-;-;-;-;-;-;-;...;12;-;-;1680;-;-;-;-;-;648;-;-;-;4961;-;-;-;-;-;-;-;-;-;-
Caraúbas do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;58;-;-;391;-;-;-;-;-;187;-;-;-;294;-;-;-;-;-;-;-;-;-;-
Caridade do Piauí (PI);...;-;118;-;-;-;-;-;-;-;-;...;-;-;-;409;-;-;-;-;-;-;-;-;-;363;-;-;-;-;1523;-;-;-;-;-
Castelo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;87;-;-;1493;-;-;-;-;-;416;-;338;-;1947;-;-;-;-;-;-;-;-;-;-
Caxingó (PI);...;-;-;-;-;-;-;-;-;-;-;...;10;-;-;160;-;-;-;-;-;470;-;87;-;96;-;-;-;-;-;-;-;-;-;-
Cocal (PI);...;-;-;-;160;-;-;-;-;-;-;...;5418;-;46;6932;-;-;-;-;-;29721;270;-;-;4849;-;-;3253;-;-;-;-;-;-;-
Cocal de Telha (PI);...;-;-;-;-;-;-;-;-;-;-;...;126;-;-;128;-;-;-;-;-;114;-;66;-;403;-;-;-;-;-;-;-;-;-;-
Cocal dos Alves (PI);...;-;-;-;-;-;-;-;-;-;-;...;4444;-;-;1401;-;-;-;-;-;4700;-;-;-;911;-;-;-;-;-;-;-;-;-;-
Coivaras (PI);...;-;-;-;-;-;-;-;-;-;-;...;636;-;-;259;-;-;-;-;-;103;319;387;-;374;-;-;-;-;-;-;-;-;-;-
Colônia do Gurguéia (PI);...;-;-;-;56;-;-;-;-;-;-;...;77;-;27;36;-;-;-;-;-;37;-;176;-;604;-;-;-;-;-;-;-;-;-;-
Colônia do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;58;-;-;785;-;-;-;-;-;122;-;221;-;569;-;-;-;-;-;-;-;-;-;-
Conceição do Canindé (PI);...;-;-;-;153;-;-;-;-;-;-;...;-;-;-;228;-;-;-;-;-;140;324;624;204;101;-;-;-;-;3093;-;-;-;-;-
Coronel José Dias (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;428;-;-;-;-;-;28;-;-;-;45;-;-;-;-;-;-;-;-;-;-
Corrente (PI);...;-;25519;-;-;-;-;-;-;-;-;...;-;-;-;813;-;-;-;-;-;634;-;-;-;16398;-;-;214827;-;-;-;-;-;-;-
Cristalândia do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;302;-;-;-;-;-;150;-;-;-;513;-;-;4925;-;-;-;-;-;-;-
Cristino Castro (PI);...;-;-;-;225;-;-;-;-;-;-;...;28;-;124;866;-;-;-;-;-;203;-;-;-;558;-;-;-;-;-;-;-;-;-;-
Curimatá (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;212;-;-;-;-;-;103;-;-;-;97;-;-;-;-;-;-;-;-;-;-
Currais (PI);...;-;-;-;75;-;-;-;-;-;-;...;14;-;-;88;-;-;-;-;-;315;-;-;-;187146;-;-;565808;2040;-;-;-;-;-;-
Curralinhos (PI);...;-;-;-;123;-;-;-;-;-;-;...;96;-;9;49;-;-;-;-;-;104;-;-;-;134;-;-;-;-;-;-;-;-;-;-
Curral Novo do Piauí (PI);...;-;84;-;-;-;-;-;-;-;-;...;-;-;-;742;-;-;-;-;-;4111;-;-;-;1221;-;-;-;-;-;-;-;-;-;-
Demerval Lobão (PI);...;-;-;-;-;-;-;-;-;-;-;...;37;-;-;175;-;-;-;-;-;78;-;575;-;365;-;-;-;-;-;-;-;-;-;-
Dirceu Arcoverde (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;304;-;-;-;-;-;44;-;-;-;102;-;-;-;-;-;-;-;-;-;-
Dom Expedito Lopes (PI);...;-;-;-;-;-;-;-;-;-;-;...;1213;-;-;2860;-;-;-;-;-;447;15;156;-;502;-;-;-;-;144;-;-;-;-;-
Domingos Mourão (PI);...;-;-;-;-;-;-;-;-;-;-;...;125;-;-;1030;-;-;-;-;-;56;-;700;-;824;-;-;-;-;-;-;-;-;-;-
Dom Inocêncio (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;512;-;-;-;-;-;37;-;-;-;297;-;-;-;-;-;-;-;-;-;-
Elesbão Veloso (PI);...;-;-;-;57;-;-;-;-;-;-;...;28;-;17;234;-;-;-;-;-;648;-;100;-;1277;-;-;-;-;-;-;-;-;-;-
Eliseu Martins (PI);...;-;-;-;-;-;-;-;-;-;-;...;19;-;-;403;-;-;-;-;-;36;-;-;-;3168;-;-;-;-;-;-;-;-;-;-
Esperantina (PI);...;-;-;-;579;-;-;-;-;-;-;...;240;-;45;346;-;-;-;-;-;960;221;375;-;1570;-;-;-;-;-;-;-;-;-;-
Fartura do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;444;-;-;-;-;-;138;-;-;-;54;-;-;-;-;-;-;-;-;-;-
Flores do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;57;-;19;941;-;-;-;-;-;88;-;-;-;1069;-;-;-;-;-;-;-;-;-;-
Floresta do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;8;-;-;488;-;-;-;-;-;60;-;-;-;505;-;-;-;-;-;-;-;-;-;-
Floriano (PI);...;-;-;-;100;-;-;-;-;-;-;...;795;-;9;2292;-;-;-;-;-;257;162;312;-;2226;-;-;-;-;200;-;-;-;-;-
Francinópolis (PI);...;-;-;-;-;-;-;-;-;-;-;...;31;-;138;62;-;-;-;-;-;30;-;72;-;275;-;-;-;-;-;-;-;-;-;-
Francisco Ayres (PI);...;-;-;-;-;-;-;-;-;-;-;...;28;-;8;509;-;-;-;-;-;110;-;-;-;3899;-;-;-;-;-;-;-;-;-;-
Francisco Macedo (PI);...;-;30;50;-;-;-;-;-;-;-;...;-;-;59;456;-;-;-;-;-;-;-;-;-;601;-;-;-;-;-;-;-;-;-;-
Francisco Santos (PI);...;-;-;-;-;-;-;-;-;-;-;...;1877;-;-;908;-;-;-;-;-;990;-;-;-;8;-;-;-;-;-;-;-;-;-;-
Fronteiras (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;342;7434;-;-;-;-;-;293;-;-;-;4451;-;-;-;-;-;-;-;-;-;-
Geminiano (PI);...;-;-;-;390;-;-;-;-;-;-;...;1620;-;-;3348;-;-;-;-;-;1366;-;189;-;1672;-;-;-;-;250;-;-;-;-;-
Gilbués (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;29;6213;-;-;-;-;-;420;-;-;-;127394;-;-;375938;13071;-;-;-;-;-;-
Guaribas (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;-;1168;-;-;-;-;-;109;-;-;-;1404;-;-;-;-;-;-;-;-;-;-
Hugo Napoleão (PI);...;-;-;-;-;-;-;-;-;-;-;...;108;-;24;55;-;-;-;-;-;38;-;-;-;1115;-;-;-;-;-;-;-;-;-;-
Ilha Grande (PI);...;-;-;-;133;-;-;-;-;-;-;...;10;-;-;94;-;-;-;-;-;84;228;-;-;15;-;-;-;-;-;-;-;-;-;-
Inhuma (PI);...;-;-;-;419;-;-;-;-;-;-;...;1043;-;64;1018;-;-;-;-;-;4390;94;1050;-;833;-;-;-;-;1732;-;-;-;-;-
Ipiranga do Piauí (PI);...;-;-;-;40;-;-;-;-;-;-;...;201;-;7;285;-;-;-;-;-;195;-;400;-;182;-;-;-;-;260;-;-;-;-;-
Isaías Coelho (PI);...;-;-;-;-;-;-;-;-;-;-;...;18;-;-;659;-;-;-;-;-;26;-;-;-;382;-;-;-;-;-;-;-;-;-;-
Itainópolis (PI);...;-;-;-;352;54;-;-;-;-;-;...;61;-;-;1040;-;-;-;-;-;90;-;160;22;540;-;-;-;-;-;-;-;-;-;-
Itaueira (PI);...;-;-;76;187;-;-;-;-;-;-;...;200;-;20;1979;-;-;-;-;-;336;-;-;-;23020;-;-;-;-;-;-;-;-;-;-
Jacobina do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;250;-;-;-;-;-;-;-;5;-;509;-;-;-;-;112;-;-;-;-;-
Jaicós (PI);...;-;-;-;-;-;-;-;-;-;-;...;3167;-;-;2297;-;-;-;-;-;3300;-;-;-;147;-;-;-;-;-;-;-;-;-;-
Jardim do Mulato (PI);...;-;-;-;132;-;-;-;-;-;-;...;144;-;60;184;-;-;-;-;-;105;-;-;-;518;-;-;-;-;-;-;-;-;-;-
Jatobá do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;564;-;-;623;-;-;-;-;-;200;-;10440;-;721;-;-;-;-;-;-;-;-;-;-
Jerumenha (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;638;-;-;-;-;-;43;-;-;-;439;-;-;-;-;-;-;-;-;-;-
João Costa (PI);...;-;-;-;1867;-;-;-;-;-;-;...;-;-;-;83;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-
Joaquim Pires (PI);...;-;-;-;117;-;-;-;-;-;-;...;204;-;-;614;-;-;-;-;-;369;-;-;-;771;-;-;-;-;-;-;-;-;-;-
Joca Marques (PI);...;-;-;-;-;-;-;-;-;-;-;...;45;-;-;207;-;-;-;-;-;429;-;390;-;216;-;-;-;-;-;-;-;-;-;-
José de Freitas (PI);...;-;-;-;91;-;-;-;-;-;-;...;151;-;18;1048;-;-;-;-;-;1344;485;1440;-;1170;-;-;-;-;-;-;-;-;-;-
Juazeiro do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;50;-;-;439;-;-;-;-;-;57;-;108;-;1686;-;-;-;-;-;-;-;-;-;-
Júlio Borges (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;802;-;-;-;-;-;43;-;-;-;370;-;-;-;-;-;-;-;-;-;-
Jurema (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;708;-;-;-;-;-;133;-;-;-;2043;-;-;-;-;-;-;-;-;-;-
Lagoinha do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;11;-;9;72;-;-;-;-;-;128;-;-;-;226;-;-;-;-;-;-;-;-;-;-
Lagoa Alegre (PI);...;-;-;-;-;-;-;-;-;-;-;...;39;-;36;344;-;-;-;-;-;432;-;707;-;338;-;-;-;-;-;-;-;-;-;-
Lagoa do Barro do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;399;-;-;-;-;-;19;-;-;-;143;-;-;-;-;-;-;-;-;-;-
Lagoa de São Francisco (PI);...;-;-;-;-;-;-;-;-;-;-;...;78;-;109;578;-;-;-;-;-;179;-;-;-;518;-;-;-;-;-;-;-;-;-;-
Lagoa do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;77;-;23;63;-;-;-;-;-;228;-;285;-;367;-;-;-;-;-;-;-;-;-;-
Lagoa do Sítio (PI);...;-;-;-;-;-;-;-;-;-;-;...;643;-;16;665;-;-;-;-;-;244;-;-;-;2862;-;-;-;-;-;-;-;-;-;-
Landri Sales (PI);...;-;-;-;210;-;-;-;-;-;-;...;98;-;32;827;-;-;-;-;-;67;-;-;-;64146;-;-;19858;-;-;-;-;-;-;-
Luís Correia (PI);...;-;-;-;-;-;-;-;-;-;-;...;1848;-;-;4700;-;-;-;-;-;19382;-;-;-;3525;-;-;-;-;-;-;-;-;-;-
Luzilândia (PI);...;-;-;-;186;-;-;-;-;-;-;...;86;-;-;378;-;-;-;-;-;480;-;825;-;1047;-;-;-;-;-;-;-;-;-;-
Madeiro (PI);...;-;-;-;76;-;-;-;-;-;-;...;39;-;-;430;-;-;-;-;-;286;-;74;-;311;-;-;-;-;-;-;-;-;-;-
Manoel Emídio (PI);...;-;-;-;479;-;-;-;-;-;-;...;273;-;27;52;-;-;-;-;-;348;-;-;-;53;-;-;-;-;-;-;-;-;-;-
Marcolândia (PI);...;-;8;-;-;-;-;-;-;-;-;...;5;-;8;121;-;-;-;-;-;16980;-;-;-;1740;-;-;-;-;-;-;-;-;-;-
Massapê do Piauí (PI);...;-;2;-;-;-;-;-;-;-;-;...;198;-;-;421;-;-;-;-;-;-;-;-;-;222;-;-;-;-;-;-;-;-;-;-
Matias Olímpio (PI);...;-;-;-;-;-;-;-;-;-;-;...;29;-;41;259;-;-;-;-;-;279;-;-;-;289;-;-;-;-;-;-;-;-;-;-
Miguel Alves (PI);...;-;-;-;269;-;-;-;-;-;-;...;90;-;-;1594;-;-;-;-;-;1480;229;400;-;2242;-;-;-;-;-;-;-;-;-;-
Miguel Leão (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;90;125;-;-;-;-;-;44;-;-;-;208;-;-;-;-;-;-;-;-;-;-
Milton Brandão (PI);...;-;-;-;-;-;-;-;-;-;-;...;480;-;-;1034;-;-;-;-;-;567;-;420;-;819;-;-;-;-;-;-;-;-;-;-
Monsenhor Gil (PI);...;-;-;-;92;-;-;-;-;-;-;...;28;-;117;275;-;-;-;-;-;95;60;1188;-;582;-;-;-;-;-;-;-;-;-;-
Monsenhor Hipólito (PI);...;-;-;-;-;-;-;-;-;-;-;...;7352;-;-;4428;-;-;-;-;-;2739;-;-;-;270;-;-;-;-;-;-;-;-;-;-
Monte Alegre do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;2583;-;-;-;-;-;127;-;-;-;74502;-;-;218716;-;-;-;-;-;-;-
Morro Cabeça no Tempo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;858;-;-;-;-;-;73;-;-;-;968;-;-;-;-;-;-;-;-;-;-
Morro do Chapéu do Piauí (PI);...;-;-;-;103;-;-;-;-;-;-;...;47;-;43;212;-;-;-;-;-;390;-;108;-;362;-;-;-;-;-;-;-;-;-;-
Murici dos Portelas (PI);...;-;-;-;-;-;-;-;-;-;-;...;312;-;-;1201;-;-;-;-;-;1447;-;-;-;346;-;-;-;-;-;-;-;-;-;-
Nazaré do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;18;-;-;180;-;-;-;-;-;42;-;-;-;179;-;-;-;-;-;-;-;-;-;-
Nazária (PI);...;-;-;-;-;-;-;-;-;-;-;...;67;-;9;198;-;-;-;-;-;180;-;248;-;391;-;-;-;-;-;-;-;-;-;-
Nossa Senhora de Nazaré (PI);...;-;-;-;-;-;-;-;-;-;-;...;75;-;-;396;-;-;-;-;-;106;-;-;-;403;-;-;-;-;-;-;-;-;-;-
Nossa Senhora dos Remédios (PI);...;-;-;-;-;-;-;-;-;-;-;...;18;-;20;124;-;-;-;-;-;318;-;-;-;319;-;-;-;-;-;-;-;-;-;-
Novo Oriente do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;213;-;48;45;-;-;-;-;-;14;-;-;-;303;-;-;-;-;-;-;-;-;-;-
Novo Santo Antônio (PI);...;-;-;-;-;-;-;-;-;-;-;...;4;-;-;176;-;-;-;-;-;41;-;-;-;382;-;-;-;-;-;-;-;-;-;-
Oeiras (PI);...;-;-;-;281;-;-;-;-;-;-;...;133;-;114;1088;-;-;-;-;-;420;56;203;-;3360;-;-;-;-;-;-;-;-;-;-
Olho D'Água do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;74;-;48;88;-;-;-;-;-;106;-;2000;-;1089;-;-;-;-;-;-;-;-;-;-
Padre Marcos (PI);...;-;46;69;-;-;-;-;-;-;-;...;14;-;-;1171;-;-;-;-;-;30;-;-;-;1978;-;-;-;-;-;-;-;-;-;-
